step,reward,novelty,path_novelty,visual_novelty,coverage_bonus,loop_penalty,blocked_open_bonus,distance_reward,pose_x,pose_y
1,2.876841903059695,1.0,1.0,1.0,0.4143457522842045,0.0,0.0,0.6558295012000145,0.17061017761305727,0.6332491626043423
2,-0.20350294565362662,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02889836518419106,0.5840784170524815
3,1.7040081303053856,1.0,1.0,1.0,0.04526331303242523,0.4135983716124777,0.0,0.2660155183999905,0.25995753822833295,0.4522606846270868
4,-0.14748413941160451,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25995753822833295,0.4522606846270868
5,4.318511062095409,1.0,1.0,1.0,1.073507618208677,0.0,0.0,0.9403841796000051,0.8464715472918354,1.1873278396641165
6,-0.3217352113844284,0.019997358322143555,0.019997358322143555,0.014570355415344238,0.0,0.0,0.0,0.0,0.751646133263453,1.0711033118984772
7,1.2805417776013355,0.03192305564880371,0.03192305564880371,0.0011399388313293457,0.6580508073771832,0.13363084364082584,0.0,0.5197632484000223,1.0895996203808378,1.4659973165789015
8,-0.3179337921771956,0.0492095947265625,0.0492095947265625,0.012381002306938171,0.0,0.0,0.0,0.0,0.9912901174314691,1.3527045911732158
9,1.7489856886825441,0.09024500846862793,0.09024500846862793,0.08706524968147278,0.7457557290763661,0.0,0.0,0.6718975008000143,1.6414938847741571,1.1833490110623708
10,-0.7167101253013265,0.11386275291442871,0.11386275291442871,0.01095011830329895,0.039294578830191274,0.4999999999999999,0.0,0.0,1.6258575900338765,1.3325318059376348
11,-0.7393245554691993,0.0828695297241211,0.0828695297241211,0.013169646263122559,0.0014184980803748637,0.7416136900000463,0.0,0.1449682140000277,1.6254125518042084,1.3375438725097835
12,-0.2567166989472971,0.07174968719482422,0.07174968719482422,0.04485808312892914,0.0,0.0,0.0,0.0,1.6254125518042084,1.3375438725097835
13,-0.939650283484981,0.04809737205505371,0.04809737205505371,0.016273558139801025,0.0,0.75,0.0,0.0,1.6254125518042084,1.3375438725097835
14,-0.2587266734908742,0.048476457595825195,0.048476457595825195,0.04117786884307861,0.0,0.0,0.0,0.0,1.6254125518042084,1.3375438725097835
15,1.5480536432635166,0.10200977325439453,0.10200977325439453,0.07716044783592224,0.0,0.0,0.0,1.2,0.9848138905396541,0.293855035315181
16,-0.879142506228949,0.10675191879272461,0.10675191879272461,0.04628300666809082,0.0,0.75,0.0,0.0,0.9848138905396541,0.293855035315181
17,-0.26754622207599643,0.06754636764526367,0.06754636764526367,0.021017715334892273,0.0,0.0,0.0,0.0,0.9848138905396541,0.293855035315181
18,2.0106468045520507,0.07424592971801758,0.07424592971801758,0.03249160945415497,0.7815228548968364,0.0,0.0,0.9669122596000307,0.6045199218630779,-0.5951307998661544
19,-0.25795661219923904,0.14089465141296387,0.14089465141296387,0.04206262528896332,0.0,0.0,0.0,0.0,0.6045199218630779,-0.5951307998661544
20,-0.8251141139398612,0.11989235877990723,0.11989235877990723,0.03402717411518097,0.0,0.75,0.0,0.0,0.6045199218630779,-0.5951307998661544
21,-0.9504993584896179,0.14139771461486816,0.14139771461486816,0.11729896068572998,0.0,0.5,0.0,0.0,0.49725348041711803,-0.4902789494317416
